,ID,age_band,gender,car_model,car_segment,age_of_vehicle_years,sched_serv_warr,non_sched_serv_warr,sched_serv_paid,non_sched_serv_paid,total_paid_services,total_services,mth_since_last_serv,annualised_mileage,num_dealers_visited,num_serv_dealer_purchased
35227,41363,1.0,0,2.0,1,6,3,3,3,2,2,3,10,3,4,4
35236,41374,3.0,0,5.0,3,8,4,5,4,5,4,3,10,3,9,4
35237,41375,4.0,1,0.0,0,10,9,8,9,10,10,8,10,6,8,9
35239,41377,3.0,1,1.0,3,8,6,4,6,9,9,5,9,4,9,5
35244,41383,1.0,1,1.0,3,10,8,8,9,7,8,7,8,7,9,5
35246,41388,4.0,1,0.0,0,6,1,1,3,2,1,1,2,1,1,1
35247,41389,2.0,1,3.0,1,8,5,9,4,7,5,6,9,5,9,5
35257,41400,1.0,1,5.0,3,9,6,2,6,2,4,5,10,5,3,6
35282,41427,4.0,1,2.0,1,9,10,9,10,8,9,10,8,10,10,10
35283,41428,1.0,0,1.0,3,10,3,7,4,6,4,5,10,7,4,7
35288,41433,1.0,1,7.0,1,8,10,7,10,6,8,9,7,10,8,10
35293,41438,4.0,0,1.0,3,9,1,6,3,4,2,4,9,7,4,5
35297,41442,2.0,1,2.0,1,9,7,5,8,8,8,5,8,8,9,1
35300,41446,4.0,0,5.0,3,10,3,7,4,7,5,5,9,5,10,5
35303,41450,5.0,0,1.0,3,9,6,6,8,10,9,6,8,5,6,8
35308,41456,4.0,0,1.0,3,6,6,4,7,4,5,4,9,5,8,7
35313,41461,5.0,0,1.0,3,9,3,6,5,6,5,5,8,5,4,6
35344,41497,3.0,1,1.0,3,8,5,9,3,7,5,8,4,10,4,9
35360,41513,3.0,0,1.0,3,10,8,8,9,9,9,9,8,10,7,10
35361,41514,3.0,0,3.0,1,10,6,10,9,8,9,9,10,5,4,10
35383,41541,0.0,0,5.0,3,8,9,10,9,9,9,10,7,7,5,10
35391,41552,0.0,1,5.0,3,5,8,6,10,8,9,7,6,10,7,9
35398,41559,2.0,1,0.0,0,9,7,2,7,2,4,4,9,6,5,7
35402,41563,2.0,0,5.0,3,10,10,7,10,4,8,9,8,9,8,10
35417,41582,3.0,1,2.0,1,7,4,8,4,6,4,5,9,5,4,7
35421,41587,2.0,0,3.0,1,9,2,6,1,3,2,4,10,4,8,5
35427,41593,5.0,1,1.0,3,8,8,4,10,7,8,6,8,7,7,8
35440,41607,3.0,0,0.0,0,8,4,10,3,7,5,8,10,9,6,9
35443,41610,3.0,0,2.0,1,8,10,7,10,7,10,9,3,9,7,9
35454,41621,5.0,0,1.0,3,4,9,5,7,4,5,8,6,5,5,8
35466,41635,6.0,1,3.0,1,7,8,3,9,8,9,5,9,5,9,6
35469,41638,4.0,1,6.0,0,9,8,5,10,5,8,6,9,6,8,7
35473,41643,4.0,1,0.0,0,7,6,10,6,10,10,9,5,6,8,10
35477,41650,3.0,0,3.0,1,5,4,9,4,7,5,8,8,10,10,5
35482,41655,3.0,0,3.0,1,5,9,2,7,2,5,6,7,8,3,7
35502,41678,2.0,0,3.0,1,8,6,8,8,6,6,8,8,6,10,4
35503,41679,1.0,1,6.0,0,7,2,10,1,10,10,7,7,1,10,6
35525,41707,4.0,1,0.0,0,5,9,10,9,9,9,10,3,9,6,10
35530,41712,4.0,0,1.0,3,9,8,5,9,6,7,6,9,5,4,7
35531,41713,1.0,0,4.0,3,7,3,7,1,4,3,3,7,5,6,6
35536,41718,1.0,1,1.0,3,6,9,7,9,6,8,9,5,9,9,6
35539,41722,3.0,0,3.0,1,5,10,4,5,3,3,9,4,6,7,9
35546,41730,5.0,0,1.0,3,9,5,7,4,4,3,5,10,4,9,5
35563,41751,3.0,0,5.0,3,9,3,3,4,1,2,3,10,3,6,4
35566,41755,3.0,0,3.0,1,10,6,10,7,10,10,9,2,8,8,8
35579,41771,2.0,1,0.0,0,6,4,9,5,6,5,7,8,6,3,8
35596,41799,4.0,1,6.0,0,5,10,6,10,5,8,10,3,9,8,10
35598,41802,5.0,0,1.0,3,7,3,1,4,2,2,2,10,3,7,3
35607,41811,2.0,0,3.0,1,6,10,8,9,5,8,9,6,10,8,10
35613,41817,3.0,0,3.0,1,7,2,1,2,3,2,1,2,2,3,1
35617,41822,2.0,1,3.0,1,6,4,8,7,7,6,6,3,9,10,4
35618,41823,5.0,0,5.0,3,5,1,1,1,1,1,1,1,1,1,1
35632,41842,1.0,1,8.0,0,9,4,3,4,5,4,3,10,3,4,5
35633,41843,4.0,0,3.0,1,7,2,8,3,8,6,5,3,8,10,5
35635,41846,4.0,0,2.0,1,7,9,8,8,7,7,8,7,6,3,9
35645,41856,4.0,0,1.0,3,9,9,10,10,9,9,10,2,9,8,10
35652,41864,4.0,1,5.0,3,4,8,2,7,1,5,5,6,5,3,7
35656,41868,1.0,0,1.0,3,6,4,10,3,10,9,10,4,7,9,10
35661,41873,3.0,0,1.0,3,8,6,9,8,8,8,8,6,7,10,9
35666,41879,5.0,1,5.0,3,7,3,6,1,6,4,4,10,4,2,3
35671,41884,0.0,0,5.0,3,4,9,4,6,5,5,8,6,8,3,8
35675,41889,5.0,1,0.0,0,10,10,2,10,3,9,10,8,8,3,2
35683,41898,3.0,0,1.0,3,5,7,6,8,4,5,7,8,7,6,8
35686,41901,3.0,1,0.0,0,9,10,7,10,8,9,10,9,10,3,10
35687,41902,3.0,1,4.0,3,9,3,4,1,3,2,2,10,3,4,4
